City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Stephenville,US,2021-01-27 16:28:24,32.2207,-98.2023,45.0,65,1,11.5
112,Oktyabrskiy,RU,2021-01-27 16:28:25,54.4815,53.471,21.63,96,100,12.97
113,Umuarama,BR,2021-01-27 16:28:25,-23.7664,-53.325,81.55,77,100,12.28
114,Zyryanka,RU,2021-01-27 16:28:25,65.75,150.85,-31.02,84,100,7.14
115,Roma,US,2021-01-27 16:26:05,43.2128,-75.4557,26.01,80,90,12.66
116,Road Town,VG,2021-01-27 16:28:25,18.4167,-64.6167,82.4,57,20,12.66
117,Cururupu,BR,2021-01-27 16:28:25,-1.8283,-44.8683,90.05,51,21,7.09
118,Gary,US,2021-01-27 16:28:26,41.5934,-87.3464,26.6,74,75,13.8
119,Berlevag,NO,2021-01-27 16:28:26,70.8578,29.0864,24.8,63,75,26.46
120,Hohhot,CN,2021-01-27 16:28:26,40.8106,111.6522,10.4,56,40,13.42
121,Cidreira,BR,2021-01-27 16:25:22,-30.1811,-50.2056,83.86,64,97,6.53
122,Dikson,RU,2021-01-27 16:25:26,73.5069,80.5464,-21.15,86,100,7.78
123,Buchmany,UA,2021-01-27 16:28:26,51.0689,28.0421,28.54,97,100,4.76
124,Maarianhamina,AX,2021-01-27 16:28:17,60.0973,19.9348,28.4,86,90,10.36
125,Airai,TL,2021-01-27 16:28:27,-8.9266,125.4092,61.75,100,100,3.44
126,Naze,JP,2021-01-27 16:25:34,28.3667,129.4833,57.33,75,42,9.6
127,Oranjemund,NA,2021-01-27 16:28:27,-28.55,16.4333,66.49,74,1,21.7
128,Aksu,CN,2021-01-27 16:28:27,41.1231,80.2644,20.89,82,0,2.01
129,Skorodnoye,RU,2021-01-27 16:28:27,51.071,37.2276,35.6,100,90,6.71
130,Guarapari,BR,2021-01-27 16:28:28,-20.6667,-40.4975,87.8,55,40,14.97
131,Labuan,MY,2021-01-27 16:28:28,5.2767,115.2417,80.6,78,20,6.91
132,Ormara,PK,2021-01-27 16:25:36,25.2088,64.6357,68.47,51,0,4.34
133,Ilulissat,GL,2021-01-27 16:25:36,69.2167,-51.1,14.0,48,75,6.91
134,New Norfolk,AU,2021-01-27 16:24:02,-42.7826,147.0587,55.0,64,83,1.39
135,Fortuna,US,2021-01-27 16:25:26,40.5982,-124.1573,44.01,100,75,16.11
136,Dingle,PH,2021-01-27 16:25:16,10.9995,122.6711,75.79,90,100,7.72
137,Las Cruces,US,2021-01-27 16:25:20,32.3123,-106.7783,33.8,60,1,4.61
138,Pangnirtung,CA,2021-01-27 16:28:29,66.1451,-65.7125,-2.2,71,1,1.5
139,Luba,GQ,2021-01-27 16:28:29,3.4568,8.5547,86.0,79,20,13.8
140,Semnan,IR,2021-01-27 16:28:29,35.5729,53.3971,39.87,61,4,0.69
141,Niagara Falls,CA,2021-01-27 16:25:57,43.1001,-79.0663,30.0,74,90,8.05
142,Fukuma,JP,2021-01-27 16:28:29,33.7667,130.4667,42.8,75,35,4.61
143,Ostrovnoy,RU,2021-01-27 16:24:51,68.0531,39.5131,9.64,94,100,20.22
144,Port Hardy,CA,2021-01-27 16:28:30,50.6996,-127.4199,39.2,87,90,2.3
145,Kitob,UZ,2021-01-27 16:28:30,39.0843,66.8332,35.6,69,0,9.22
146,Zaysan,KZ,2021-01-27 16:28:30,47.4667,84.8667,-1.77,90,72,0.49
147,Charyshskoye,RU,2021-01-27 16:28:31,51.3978,83.5598,19.13,91,67,6.2
148,Xichang,CN,2021-01-27 16:25:56,27.8964,102.2634,40.14,70,2,5.84
