City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Bhadravati,IN,13.8667,75.7167,68.81,55,50,3.49,scattered clouds
145,Olot,ES,42.181,2.4901,59.0,50,75,1.97,broken clouds
146,Ust-Kuyga,RU,70.0167,135.6,-40.25,77,100,0.16,overcast clouds
147,Dhidhdhoo,MV,6.8833,73.1,81.1,68,0,9.78,clear sky
148,Dongsheng,CN,39.8161,109.9776,19.83,79,0,19.77,clear sky
149,Biak,ID,-0.9131,122.8766,76.57,73,86,5.08,overcast clouds
150,Waipawa,NZ,-41.4122,175.5153,57.2,67,90,21.85,overcast clouds
151,Nouadhibou,MR,20.931,-17.0347,87.8,20,0,12.66,clear sky
152,Mahayag,PH,8.1183,123.4455,73.58,85,100,3.0,overcast clouds
153,Lompoc,US,34.6391,-120.4579,46.0,100,90,5.75,overcast clouds
154,Ust-Karsk,RU,52.7011,118.8077,-27.78,81,92,1.07,overcast clouds
155,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,40,5.75,light rain
156,Iqaluit,CA,63.7506,-68.5145,-13.0,70,1,21.85,snow
157,Machida,JP,35.5403,139.4508,37.0,64,1,7.05,clear sky
158,Norman Wells,CA,65.282,-126.8329,-36.4,74,20,5.75,few clouds
159,Takoradi,GH,4.8845,-1.7554,82.4,74,76,9.31,light rain
160,Kathmandu,NP,27.7167,85.3167,48.2,61,20,3.44,few clouds
161,Lata,PT,40.1629,-8.3327,57.99,89,84,7.07,broken clouds
162,East London,ZA,-33.0153,27.9116,75.2,73,20,6.91,few clouds
163,Kaitangata,NZ,-46.2817,169.8464,42.67,92,15,5.86,few clouds
164,Talnakh,RU,69.4865,88.3972,-31.85,69,0,1.14,clear sky
165,Portland,US,45.5234,-122.6762,42.01,93,90,2.93,mist
166,Koungheul,SN,13.9833,-14.8,99.45,7,87,7.23,overcast clouds
167,Ponta Do Sol,PT,32.6667,-17.1,62.01,70,16,4.0,few clouds
168,Vaini,TO,-21.2,-175.2,73.4,94,90,8.05,light rain
169,Havoysund,NO,70.9963,24.6622,19.4,86,90,11.5,light snow
170,Hualmay,PE,-11.0964,-77.6139,76.12,65,43,11.65,scattered clouds
171,Wagar,SD,16.1525,36.2032,76.91,54,8,19.57,clear sky
172,Chengde,CN,40.9725,117.9361,16.16,78,0,2.62,clear sky
173,Egvekinot,RU,66.3167,-179.1667,-20.33,84,10,16.91,clear sky
174,Pevek,RU,69.7008,170.3133,-27.9,86,5,3.76,clear sky
175,Inirida,CO,3.8653,-67.9239,93.16,44,53,2.04,broken clouds
176,Lebu,CL,-37.6167,-73.65,58.98,96,98,1.79,overcast clouds
177,Senneterre,CA,48.3835,-77.2328,1.4,85,90,10.36,light snow
178,Port Elizabeth,ZA,-33.918,25.5701,71.6,64,0,13.8,clear sky
