City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Yellowknife,CA,62.456,-114.3525,-16.01,76,20,6.91,few clouds
140,Dombas,NO,62.0696,9.1235,7.47,79,68,4.25,broken clouds
141,Mandalgovi,MN,45.7625,106.2708,15.42,90,52,14.58,broken clouds
142,Ibra,OM,22.6906,58.5334,52.21,61,0,0.58,clear sky
143,Yanam,IN,16.7333,82.2167,69.06,91,76,0.2,broken clouds
144,Mahebourg,MU,-20.4081,57.7,80.6,78,75,9.22,light rain
145,Geraldton,AU,-28.7667,114.6,82.4,18,0,20.71,clear sky
146,Mount Gambier,AU,-37.8333,140.7667,57.2,94,90,9.22,overcast clouds
147,Nara,JP,34.6851,135.8049,33.01,56,23,1.99,few clouds
148,Nikolskoye,RU,59.7035,30.7861,33.01,100,75,8.95,light snow
149,Igarka,RU,67.4667,86.5833,-28.39,77,61,5.99,broken clouds
150,Valparaiso,CL,-33.0393,-71.6273,73.4,53,0,6.91,clear sky
151,Cabo San Lucas,MX,22.8909,-109.9124,82.0,60,1,17.27,clear sky
152,Hohhot,CN,40.8106,111.6522,6.8,72,0,6.71,clear sky
153,Lishu,CN,43.3047,124.3278,2.55,93,97,9.71,overcast clouds
154,Georgetown,MY,5.4112,100.3354,77.0,78,20,3.44,few clouds
155,Vung Tau,VN,10.346,107.0843,73.49,77,100,12.88,overcast clouds
156,Ribeira Grande,PT,38.5167,-28.7,60.8,77,20,12.66,few clouds
157,San Joaquin,US,37.9333,-121.3011,52.0,66,90,2.26,overcast clouds
158,General Roca,AR,-39.0333,-67.5833,71.6,60,40,8.05,scattered clouds
159,Verkh-Usugli,RU,52.7,115.1667,-28.5,81,0,0.38,clear sky
160,Bengkulu,ID,-3.8004,102.2655,75.58,88,100,6.04,light rain
161,Iberia,US,29.9502,-91.7507,62.01,48,1,6.91,clear sky
162,Hasaki,JP,35.7333,140.8333,33.8,47,20,12.66,few clouds
163,Galveston,US,29.3669,-94.9669,61.0,72,90,17.27,overcast clouds
164,Hualmay,PE,-11.0964,-77.6139,75.87,65,4,11.21,clear sky
165,Port Hedland,AU,-20.3167,118.5667,80.6,89,15,4.61,few clouds
166,Kaitangata,NZ,-46.2817,169.8464,53.01,77,29,5.99,scattered clouds
167,Krasnogvardeyskoye,RU,45.8456,41.5186,34.45,89,100,7.65,overcast clouds
168,Lebu,CL,-37.6167,-73.65,58.91,94,97,2.75,overcast clouds
169,Seoul,KR,37.5683,126.9778,23.0,54,75,9.22,light snow
170,Namibe,AO,-15.1961,12.1522,73.78,77,39,12.77,scattered clouds
171,Porto Nacional,BR,-10.7081,-48.4172,86.0,70,40,2.3,scattered clouds
172,Aklavik,CA,68.2191,-135.0107,-31.0,68,40,3.44,scattered clouds
173,Padang,ID,-0.9492,100.3543,75.2,94,75,5.75,light rain
174,Hwange,ZW,-18.3693,26.5019,68.94,95,100,2.28,overcast clouds
175,Gnjilane,XK,42.4604,21.4699,42.8,75,75,6.91,broken clouds
176,Nuevitas,CU,21.5453,-77.2644,75.2,53,40,19.57,scattered clouds
177,Kampong Thum,KH,12.7111,104.8887,68.65,63,80,6.13,broken clouds
178,Chumikan,RU,54.7183,135.315,-12.8,87,100,10.13,overcast clouds
179,Souillac,MU,-20.5167,57.5167,80.6,78,75,9.22,light rain
180,Fairbanks,US,64.8378,-147.7164,1.99,77,90,2.24,overcast clouds
181,Hrodna,BY,53.6884,23.8258,14.49,97,17,6.31,few clouds
182,Kathmandu,NP,27.7167,85.3167,42.8,87,20,3.44,few clouds
183,Kamensk-Uralskiy,RU,56.4185,61.9329,8.87,94,100,10.04,overcast clouds
184,Mildura,AU,-34.2,142.15,59.0,94,0,5.75,clear sky
185,Adrar,MR,20.5022,-10.0711,70.99,20,0,8.41,clear sky
186,Mednogorsk,RU,51.4128,57.595,19.29,96,100,7.94,snow
187,Eaton Socon,GB,52.2175,-0.2893,48.0,91,100,1.99,overcast clouds
188,Neryungri,RU,56.6709,124.6491,-37.43,79,100,2.75,overcast clouds
189,Lixourion,GR,38.2019,20.4314,57.43,85,71,13.31,broken clouds
190,Ocotal,NI,13.6321,-86.4752,81.77,32,29,12.44,scattered clouds
191,Betanzos,ES,43.2804,-8.2147,59.0,88,75,11.5,light rain
192,Vorukh,TJ,39.8494,70.5838,31.5,64,50,9.15,scattered clouds
193,Abatskoye,RU,56.2875,70.4555,9.12,95,100,3.8,overcast clouds
194,Havoysund,NO,70.9963,24.6622,21.2,79,75,12.66,light snow
195,Muscat,OM,23.6139,58.5922,64.4,68,0,3.44,clear sky
196,Camacha,PT,33.0833,-16.3333,62.6,82,75,12.66,broken clouds
197,Carnarvon,AU,-24.8667,113.6333,78.8,89,3,9.22,clear sky
198,Lorengau,PG,-2.0226,147.2712,82.24,78,96,9.51,overcast clouds
