City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Esmeralda,CU,75.2,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
248,Cayenne,GF,78.8,light rain,4.9333,-52.3333,Hôtel Le Dronmi
249,Princeton,US,73.4,scattered clouds,25.5384,-80.4089,American Best Inn
255,Gwanda,ZW,69.44,light rain,-20.9333,29.0,Mafax Homeways
256,Mulege,MX,71.26,overcast clouds,26.8833,-111.9833,Casa Granada
257,Ranot,TH,78.84,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
258,Saldanha,ZA,65.14,clear sky,-33.0117,17.9442,Blue Bay Lodge
263,San Gregorio,PH,77.0,overcast clouds,14.0297,121.2639,Royal Palm Paradise Resort and Spa
265,Oyugis,KE,73.4,scattered clouds,-0.509,34.7358,Hotel Ayadom
268,Brumadinho,BR,86.0,few clouds,-20.1433,-44.1997,Ville de Montagne Hotel
269,Pauini,BR,78.37,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
270,Alice Town,BS,67.3,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
271,Kontagora,NG,83.17,few clouds,10.3999,5.4695,City Gate Inn
275,Boa Esperanca,BR,79.74,overcast clouds,-21.09,-45.5658,Hotel do Lago
278,Taltal,CL,71.74,few clouds,-25.4,-70.4833,Residencial Karime
280,Kulhudhuffushi,MV,80.56,clear sky,6.6221,73.07,Haajy Guest House 1
281,Olinda,BR,80.6,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
283,Aurangabad,IN,65.73,broken clouds,19.8833,75.3333,Vivanta Aurangabad
286,Doha,QA,70.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
288,Port Macquarie,AU,71.6,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
292,Pathein,MM,72.59,clear sky,16.7833,94.7333,Pathein Hotel
293,Kavaratti,IN,80.37,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
297,Balabac,PH,80.06,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
298,Charters Towers,AU,69.94,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
299,Kavieng,PG,82.76,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
300,Mocuba,MZ,74.71,light rain,-16.8392,36.9856,Phama Lodge
301,Pisco,PE,78.8,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
309,Pedasi,PA,82.27,overcast clouds,7.5333,-80.0333,Selina Pedasi
313,Chicama,PE,73.4,few clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
319,Cootamundra,AU,66.0,overcast clouds,-34.65,148.0333,Cootamundra Gardens Motel
320,Byron Bay,AU,69.8,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
321,Mindelo,CV,73.4,few clouds,16.8901,-24.9804,Hotel Gaudi
322,Moron,AR,86.0,clear sky,-34.6534,-58.6198,Hotel Morón
323,Oistins,BB,82.4,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
328,Paita,PE,82.4,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
